word,points
atrocious,3
atrocity,3
atrophy,3
atropos,3
attaboy,3
attach,2
attache,3
attachment,2
attack,1
attain,2
attainable,3
attainder,3
attainment,3
attaint,3
attar,3
attempt,1
attempted,3
attend,2
attendance,3
attendant,3
attention,1
attentive,3
attenuate,3
attenuation,3
attest,3
attestation,3
attested,3
attic,3
attire,3
attitude,1
attitudinise,3
attitudinize,3
attorney,3
attract,2
attractant,3
attraction,2
attractive,1
attributable,3
attribute,3
attribution,3
attributive,3
attrition,3
attune,3
atwitter,3
atypical,3
aubergine,3
aubrietia,3
auburn,3
auction,3
auctioneer,3
audacious,3
audacity,3
audibility,3
audible,3
audience,1
audio,1
audiology,3
audiometer,3
audiophile,3
audiotape,3
audiovisual,3
audit,3
audition,3
auditor,3
auditorium,3
auditory,3
auger,3
aught,3
augment,3
augmentation,3
augur,3
augury,3
august,1
augusta,3
augustan,3
augustine,3
augustinian,3
augustus,3
auk,3
aunt,1
auntie,3
aunty,3
aura,3
aural,3
aureate,3
aureole,3
aureomycin,3
auricle,3
auricular,3
auriferous,3
aurochs,3
aurora,3
auroral,3
auscultate,3
auscultation,3
auspices,3
auspicious,3
aussie,3
austere,3
austerity,3
austral,3
australasian,3
australia,3
australian,3
austria,3
austrian,3
austronesian,3
autarchy,3
autarky,3
authentic,3
authentically,3
authenticate,3
authentication,3
authenticity,3
author,1
authoress,3
authoritarian,3
authoritarianism,3
authoritative,3
authority,2
authorization,3
authorize,3
authorized,3
authorship,3
autism,3
autistic,3
auto,3
autobahn,3
autobiographer,3
autobiographic,3
autobiographical,3
autobiography,3
autochthonous,3
autoclave,3
autocracy,3
autocrat,3
autocratic,3
autocratical,3
autodidact,3
autoeroticism,3
autogiro,3
autograph,3
autographic,3
autographical,3
autogyro,3
autohypnosis,3
autointoxication,3
automat,3
automata,3
automate,3
automatic,1
automatically,1
automation,3
automatism,3
automaton,3
automobile,3
automotive,3
autonomic,3
autonomous,3
autonomy,3
autopilot,3
autopsy,3
autostrada,3
